home_score,away_score,home_third_dwn_pct,away_third_dwn_pct,home_adjqbr,away_adjqbr,home_passingyards,away_passingyards,home_rushingyards,away_rushingyards,home_fumbles,away_fumbles,home_totaltackles,away_totaltackles,home_sacks,away_sacks,home_interceptions,away_interceptions,home_qbhits,away_qbhits,game_id,label
113.932,108.4213,1.9534754926,1.6149200000000001,394.71717,296.97332,1305.6598000000001,1112.4850000000001,464.2633,424.4454,5.339,3.3661000000000003,271.8202,253.1287,14.8192,10.6165,1.9,3.52,30.4725,24.1249,401220114,Home
80.19030000000001,121.61649,1.7184702439280002,1.8708700656108,137.74137000000002,337.24429000000003,1044.3972,1084.41932,434.38480000000004,770.92556,6.42,4.807,277.7701,297.48851,7.2883000000000004,13.31587,4.168,2.71,17.0205,39.119710000000005,401220154,Away
121.73271000000001,129.9926,2.1277705724714,1.629824793656,434.349458,200.92235000000002,942.00948,951.8559,777.6099300000001,563.2311,5.1951,5.707000000000001,301.18749,229.5276,10.78067,19.6213,5.51,6.5612,21.17677,47.8098,401220164,Home
110.55760000000001,88.379,1.9076093823,1.508589526843,259.23776000000004,196.84109,1012.183,841.8221000000001,501.03000000000003,465.6646,0.0,6.220000000000001,254.0764,294.5803,4.9051,7.732200000000001,4.33,3.439,17.8592,19.736800000000002,401220284,Away
88.033,64.3697,1.6435493673530002,1.87686847913,203.50731,190.09784000000002,878.7017000000001,835.0658000000001,674.6237,415.0609,4.529,1.0,257.7306,277.6175,5.5612,5.997,4.51,4.71,21.1478,19.714100000000002,401220132,Home
70.4419,136.33210000000003,2.24996431554,1.96701633354,202.14424,406.63764000000003,909.438,1607.8932,315.7946,442.91610000000003,5.9851,6.769,277.959,277.73220000000003,9.648200000000001,7.9634,2.8,1.0,24.0755,23.3758,401220250,Home
113.0023,101.7165,1.579261067974,1.847470688094,191.30951000000002,227.28116999999997,1126.2789,1181.307,402.4796,469.8752,4.9222,2.439,245.35090000000002,283.6125,14.8641,5.326300000000001,5.2490000000000006,2.0,28.3123,23.262,401220328,Home
83.036,135.64270000000002,1.326836674452,1.761060622867,190.56322,296.00894000000005,1004.7456000000001,1181.8323,363.464,554.0698,4.168,3.9,243.7739,233.0414,9.1812,11.9102,2.71,1.9,24.3728,20.7982,401220275,Away
84.78540000000001,121.7234,1.4731834397,1.9117891391769999,171.4366,283.10685,939.0186000000001,1189.0539,425.3607,497.0853,6.526000000000001,8.049,263.3275,231.8032,12.324100000000001,6.1661,2.9,2.71,28.3967,20.4313,401220211,Away
104.4059,88.63,1.5426924502300001,1.89369301789,222.32,212.5825,1014.426,1184.9229,432.0203,390.9545,1.0,4.5200000000000005,241.73250000000002,266.995,8.892100000000001,4.0951,7.859,4.42,21.1665,19.8194,401220187,Home
