home_score,away_score,home_third_dwn_pct,away_third_dwn_pct,home_adjqbr,away_adjqbr,home_passingyards,away_passingyards,home_rushingyards,away_rushingyards,home_fumbles,away_fumbles,home_totaltackles,away_totaltackles,home_sacks,away_sacks,home_interceptions,away_interceptions,home_qbhits,away_qbhits,temperature,precip_severity,game_id,label
78.2924,57.9804,1.542389074803,1.6872783084060001,297.3921,266.75988,760.1531,735.3873,547.9023,359.72790000000003,4.5200000000000005,4.8241000000000005,293.9835,311.3287,12.0395,8.249500000000001,5.32,1.9,19.654600000000002,26.9437,74.5,2.0,401547654,Home
117.22730000000001,66.41170000000001,2.03862977053,1.7139549979030002,322.02731,282.6607,1020.9683,948.9709,499.29670000000004,319.60490000000004,3.6100000000000003,4.5200000000000005,267.8823,311.39750000000004,5.6702,8.2585,5.61,7.336,11.781300000000002,16.270400000000002,75.0,3.0,401548631,Away
132.7713,88.5574,1.7653892407160001,1.826246183457,290.11123000000003,381.33267,919.7003000000001,1057.6121,819.0274000000001,346.03110000000004,4.2490000000000006,6.049,268.0312,290.7602,12.0411,9.8073,5.61,3.8,28.658300000000004,19.2414,70.0,2.0,401550740,Home
110.545,112.48660000000001,1.7356636519400002,1.310934862214,207.01037000000002,391.91588,1162.355,991.0225,322.78110000000004,524.4753000000001,2.8,4.529,274.2112,241.46030000000002,7.917300000000001,8.254100000000001,3.71,3.7,23.462500000000002,22.0703,81.75,2.0,401548624,Away
125.1803,77.35170000000001,1.72437212116,1.649528592153,489.82818,218.86587,1109.7199,627.3825,540.8321000000001,641.7278,2.3851,6.439,263.5982,272.41790000000003,11.728,6.8861,4.439,3.71,24.073500000000003,19.859,72.75,2.0,401550739,Home
78.0681,88.78470000000002,1.916198894,2.014260314536,179.45343,273.21496,772.9000000000001,782.7839,464.8142,495.79080000000005,4.8100000000000005,5.8951,251.45600000000002,304.3308,9.8227,4.1761,2.8,3.9,24.569300000000002,15.595500000000001,88.5,1.0,401548626,Away
110.7784,87.4448,1.742027525777,1.604099825766,340.80574,169.15796,1382.7551,767.1615,289.5812,545.2804,2.8512000000000004,5.807,260.5989,281.2135,5.8051,19.4517,1.9,6.6512,21.1855,31.718,91.0,2.0,401550178,Away
76.3241,76.63210000000001,1.5003313851870002,1.5084758707900001,253.4334,236.03416,762.1214,751.495,606.2952,597.0271,3.71,3.71,283.4859,265.1323,9.4151,10.447300000000002,5.32,3.71,17.686300000000003,25.527,71.0,3.0,401549309,Away
83.2903,87.79270000000001,1.880752493836,1.893107175207,183.27792,485.23095,911.9329,979.3155,414.4861,524.7029,3.2661000000000002,4.897,266.6162,267.3475,6.063400000000001,2.9412000000000003,1.0,1.9,20.8536,13.356300000000001,100.0,2.0,401548496,Home
128.94023,76.34540000000001,1.2537173967000002,1.845160746856,403.61106600000005,343.71042000000006,1167.2103000000002,724.1008,617.27525,519.4301,9.548200000000001,7.272100000000001,281.48042000000004,272.6485,19.84406,4.9412,8.040000000000001,7.04,33.77024,17.7623,76.25,2.0,401547663,Home
74.3429,90.385,1.53020463264,1.595389327594,297.27020000000005,285.22938,746.9183,824.1159,505.9077,597.7413,1.629,5.149,280.6392,253.35520000000002,10.9444,15.787300000000002,3.71,3.52,21.3368,23.082600000000003,83.5,2.0,401548411,Home
67.1203,52.7316,1.52711014954,1.847592347757,319.4350300000001,235.92318000000003,773.1258,703.8945,432.6163,316.4253,9.603100000000001,5.4802,276.53450000000004,307.3921,7.3712,5.625100000000001,1.0,2.8,19.0914,24.319300000000002,90.0,2.0,401550833,Away
103.2322,89.82100000000001,1.8441215056000002,2.07463827896,403.50911,157.32663000000002,992.6816,879.9457,393.91560000000004,427.2614,4.8,3.439,299.6662,312.6487,8.9002,7.227,2.71,1.0,21.1945,32.5566,104.5,1.0,401548620,Away
64.0477,106.14250000000001,1.753515060937,1.516481344,188.95850000000002,205.17319,785.9726,892.5034,668.1855,588.9235,5.878,4.3580000000000005,277.3749,240.73270000000002,7.6024,15.037,2.9,1.9,22.7128,30.9635,88.25,3.0,401547659,Home
86.92760000000001,128.005,1.3725465735090001,1.42577215084,309.51862,371.50827000000004,911.8947000000001,1171.6473,460.8046,422.9897,1.9,3.7431,275.4649,267.4716,11.2883,8.9002,5.878,4.6,21.1885,17.8365,75.75,2.0,401547666,Away
74.8323,118.4688,1.4816678794,1.8495324368800001,405.75687000000005,392.41023,805.1982,1043.4442000000001,542.53,448.12180000000006,5.526000000000001,3.1141,238.5209,260.9888,16.6741,15.977200000000002,6.792400000000001,4.168,24.6941,36.3302,93.75,1.0,401548628,Home
103.20530000000001,122.8537,1.53922730176,1.595546161834,240.38551,247.21359000000004,1086.8709000000001,932.7677000000001,488.3989,604.2311,7.4612,2.9970000000000003,258.9706,266.6248,6.6322,6.5151,1.9,6.968,25.590400000000002,21.1482,98.0,2.0,401550918,Home
106.14250000000001,72.0905,1.516481344,1.457964170838,205.17319,473.5549500000001,892.5034,827.393,588.9235,535.0917000000001,4.3580000000000005,2.71,240.73270000000002,296.6097,15.037,7.551200000000001,1.9,7.507000000000001,30.9635,17.7997,80.25,2.0,401547661,Away
93.1106,52.03,1.722322882357,1.458375847267,344.68297,204.4207,776.7132,733.1037,587.2861,405.7162,2.71,10.2592,275.68240000000003,291.6248,6.085100000000001,6.7151000000000005,4.33,2.0,20.4466,17.7792,74.5,2.0,401550834,Home
